Date,Adj Close,Volume
4/24/2017,20940.50977,1654810000
5/1/2017,21006.93945,1473570000
5/8/2017,20896.60938,1408670000
5/15/2017,20804.83984,1835720000
5/22/2017,21080.2793,1281220000
5/29/2017,21206.28906,1220820000
6/5/2017,21271.9707,1554270000
6/12/2017,21384.2793,2067140000
6/19/2017,21394.75977,1531180000
6/26/2017,21349.63086,1455570000
7/3/2017,21414.33984,1023190000
7/10/2017,21637.74023,1253640000
7/17/2017,21580.07031,1425710000
7/24/2017,21830.31055,1559570000
7/31/2017,22092.81055,1505210000
8/7/2017,21858.32031,1293910000
8/14/2017,21674.50977,1389120000
8/21/2017,21813.66992,1203720000
8/28/2017,21987.56055,1321950000
9/4/2017,21797.78906,1274810000
9/11/2017,22268.33984,1794560000
9/18/2017,22349.58984,1517400000
9/25/2017,22405.08984,1499120000
10/2/2017,22773.66992,1210940000
10/9/2017,22871.7207,1497390000
10/16/2017,23328.63086,1616920000
10/23/2017,23434.18945,2152710000
10/30/2017,23539.18945,1846500000
11/6/2017,23422.21094,1531660000
11/13/2017,23358.24023,2244910000
11/20/2017,23557.99023,1032350000
11/27/2017,24231.58984,1923080000
12/4/2017,24329.16016,1720810000
12/11/2017,24651.74023,1918600000
12/18/2017,24754.06055,1626670000
12/25/2017,24719.2207,905900000
1/1/2018,25295.86914,1559220000
1/8/2018,25803.18945,1739570000
1/15/2018,26071.7207,2207020000
1/22/2018,26616.71094,2262650000
1/29/2018,25520.96094,2281960000
2/5/2018,24900.90039,3435540000
2/12/2018,25219.38086,2125690000
2/19/2018,25309.99023,1591900000
2/26/2018,26180.06055,2307030000
3/5/2018,25335.74023,1808620000
3/12/2018,24946.50977,2137840000
3/19/2018,23533.19922,1985560000
3/26/2018,24103.10938,1997610000
4/2/2018,23932.75977,2036270000
4/9/2018,24360.14063,1703760000
4/16/2018,24462.93945,1868390000
4/20/2018,24462.93945,537769284
