Date,Adj Close,Volume
3/20/2017,129.719299,118404300
3/27/2017,131.457108,91838100
4/3/2017,131.049942,104686800
4/10/2017,129.490891,89035900
4/17/2017,131.635834,88364200
4/24/2017,135.041916,103641400
5/1/2017,136.5811,100949000
5/8/2017,137.633743,109176100
5/15/2017,136.879028,175959500
5/22/2017,140.235474,92869300
5/29/2017,142.459854,110879400
6/5/2017,139.004105,191899000
6/12/2017,137.186859,318973400
6/19/2017,140.637421,162058400
6/26/2017,137.05278,315463800
7/3/2017,137.172256,160314500
7/10/2017,141.513657,158035400
7/17/2017,143.495178,160680500
7/24/2017,143.226334,192123300
7/31/2017,143.03714,151792700
8/7/2017,141.493759,194108000
8/14/2017,140.627457,222387800
8/21/2017,141.364304,163649200
8/28/2017,145.377121,134277400
9/4/2017,143.594757,126128200
9/11/2017,145.436859,167174200
9/18/2017,143.704285,130509800
9/25/2017,145.146454,185077700
10/2/2017,147.351852,128571100
10/9/2017,148.030426,78290400
10/16/2017,148.399673,110019400
10/23/2017,150.924393,174161000
10/30/2017,152.95015,144750900
11/6/2017,153.359283,128145800
11/13/2017,153.628723,126020600
11/20/2017,155.933899,66871300
11/27/2017,154.167603,235478300
12/4/2017,154.377151,181319000
12/11/2017,157.320999,139961200
12/18/2017,157.04158,139201200
12/25/2017,155.759995,102886700
1/1/2018,161.919998,113725300
1/8/2018,164.490005,140181700
1/15/2018,166.339996,140451500
1/22/2018,170.929993,179321700
1/29/2018,164.610001,231230700
2/5/2018,156.100006,522959800
2/12/2018,164.960007,260833800
2/19/2018,168.169998,165118700
2/26/2018,165.990005,258667900
3/5/2018,173.160004,166769400
3/12/2018,171.020004,189003500
3/19/2018,166.190002,48818155
