Date,Adj Close,Volume
4/3/2017,2355.540039,16648230000
4/10/2017,2328.949951,12243670000
4/17/2017,2348.689941,16765230000
4/24/2017,2384.199951,19608540000
5/1/2017,2399.290039,18809590000
5/8/2017,2390.899902,17759610000
5/15/2017,2381.72998,19201970000
5/22/2017,2415.820068,16116730000
5/29/2017,2439.070068,15038090000
6/5/2017,2431.77002,17598940000
6/12/2017,2433.149902,19496610000
6/19/2017,2438.300049,19022570000
6/26/2017,2423.409912,17565550000
7/3/2017,2425.179932,11595360000
7/10/2017,2459.27002,15081810000
7/17/2017,2472.540039,15057410000
7/24/2017,2472.100098,17965610000
7/31/2017,2476.830078,17288810000
8/7/2017,2441.320068,16365480000
8/14/2017,2425.550049,15247600000
8/21/2017,2443.050049,13786300000
8/28/2017,2476.550049,14107780000
9/4/2017,2461.429932,13521090000
9/11/2017,2500.22998,18158360000
9/18/2017,2502.219971,15770230000
9/25/2017,2519.360107,16177570000
10/2/2017,2549.330078,15215390000
10/9/2017,2553.169922,14721510000
10/16/2017,2575.209961,15178860000
10/23/2017,2581.070068,18269710000
10/30/2017,2587.840088,18915260000
11/6/2017,2582.300049,18566610000
11/13/2017,2578.850098,17216450000
11/20/2017,2602.419922,10448990000
11/27/2017,2642.219971,19454370000
12/4/2017,2651.5,17189740000
12/11/2017,2675.810059,19343950000
12/18/2017,2683.340088,16007500000
12/25/2017,2673.610107,8767680000
1/1/2018,2743.149902,13837790000
1/8/2018,2786.23999,17487770000
1/15/2018,2810.300049,15424920000
1/22/2018,2872.870117,18283880000
1/29/2018,2762.129883,20065340000
2/5/2018,2619.550049,26787200000
2/12/2018,2732.219971,18854770000
2/19/2018,2747.300049,14297470000
2/26/2018,2691.25,19786810000
3/5/2018,2786.570068,17051190000
3/12/2018,2752.01001,18750700000
3/19/2018,2588.26001,17513550000
3/26/2018,2640.870117,14647940000
4/2/2018,2581.879883,3598520000
4/2/2018,2581.879883,2468994069
